"","Zone","TotWhea","TotWhea_h","cs","fg","mg","pg","ps","pt","st"
"1",NA,870047.598594412,865441.69858256,68737.1997746006,607730.399658576,158642.099826947,600491.999675527,600491.999675527,600866.599681631,379276.49996163
"2","SouthWestAsia",40959552.2719656,33252221.1850489,20152866.6027329,33243808.1850532,23250623.9089744,30549838.9847929,23167250.9888631,31662007.0821054,4545360.09600025
"3","SouthAfr",684138.299228862,388799.899413824,201549.499651186,378376.799390934,210323.099649914,358724.199385159,348530.399436146,374072.499413088,170467.399834894
"4","Eurasia",29793674.40357,19510875.695218,5025981.90231359,19295396.7958447,9802102.00129091,19163811.2959751,19327949.1951166,19306013.2957388,13076078.8034917
"5","ESouthAm",7398611.50324481,4330854.49955161,3213191.50204825,4307030.29953001,3282447.10108271,4109258.19977222,4011616.80006652,4240791.19985984,3372691.29868874
"6","FSU",50150857.6172792,31417436.5157244,5342825.60479259,22883888.2101618,6917733.40503979,18873445.7133708,23805234.8155638,22993812.9108666,9365324.60831817
"7","CACaribbean",2865.40000157058,1659.000003241,1332.90000256896,1659.000003241,1652.40000340343,1659.000003241,1642.90000285953,1659.000003241,1636.80000284314
"8","Australasia",13652678.7042579,7578188.79788649,288459.600394227,6522244.29642893,2151745.09747461,5356484.79701138,6870531.89775321,6593234.69704989,3526034.5983495
"9","ECentralAfrica",2029679.09980533,486704.899042435,405108.19927685,486693.299042538,435963.199135512,486333.699044868,474388.898954593,486337.799044527,410977.599084765
"10","NAfrWEu",20649960.2055407,17554107.9904276,10113283.2924927,17423913.7908036,13484239.3943163,17286081.092145,17455292.7907053,17423302.3907874,16178899.9935812
"11","WCentralAfrica",108901.400407717,63719.300421752,39970.7002678439,41200.3002429083,40406.700267382,7392.0998743698,1570.90000057966,1840.99999259412,1516.2000002861
"12","Andean",616210.699495248,417356.799870722,237627.10015133,415589.199860074,347228.499885678,412159.099902265,407266.99993407,412920.699873708,401218.399917856
"13","SEAsia",101108.400338747,77679.9997269958,77679.9997269958,77679.9997269958,77679.9997269958,77679.9997269958,70777.9998192042,77672.6997268274,41108.6000110954
"14","NorthAmerica",28871376.6998985,28849090.4044542,7671501.19463763,27503454.8034391,13227554.499845,24630888.5016317,26530688.4025009,27510766.5032027,24107015.501543
"15","NEAsia",24828127.905104,24746533.1034878,22092170.7010605,24713348.1033482,22971015.2038022,24023431.5038668,24550925.6024954,24695853.1034614,24242696.6040524
"16","Pacific",0,0,0,0,0,0,0,0,0
