Year,State,Loss,Disease
2020,AL,0.5,Fusarium head blight
2020,AR,0.01,Fusarium head blight
2020,CO,0,Fusarium head blight
2020,DE,1,Fusarium head blight
2020,FL,,Fusarium head blight
2020,GA,1,Fusarium head blight
2020,IA,,Fusarium head blight
2020,ID,0.1,Fusarium head blight
2020,IL,0.2,Fusarium head blight
2020,IN,1,Fusarium head blight
2020,KS,1.88,Fusarium head blight
2020,KY,1,Fusarium head blight
2020,LA,4.5,Fusarium head blight
2020,MD,1,Fusarium head blight
2020,MI,2,Fusarium head blight
2020,MN,6.67,Fusarium head blight
2020,MO,2.5,Fusarium head blight
2020,MS,1.25,Fusarium head blight
2020,MT,0.1,Fusarium head blight
2020,NC,0.5,Fusarium head blight
2020,ND,2,Fusarium head blight
2020,NE,0.01,Fusarium head blight
2020,NY,0.01,Fusarium head blight
2020,OH,1,Fusarium head blight
2020,OK,0,Fusarium head blight
2020,PA,5,Fusarium head blight
2020,SC,,Fusarium head blight
2020,SD,1.5,Fusarium head blight
2020,TN,0.01,Fusarium head blight
2020,TX,0,Fusarium head blight
2020,VA,0.5,Fusarium head blight
2020,WI,2,Fusarium head blight
2019,AL,0.05,Fusarium head blight
2019,AR,0.01,Fusarium head blight
2019,CO,0,Fusarium head blight
2019,DE,1.5,Fusarium head blight
2019,FL,,Fusarium head blight
2019,GA,1.5,Fusarium head blight
2019,IA,,Fusarium head blight
2019,ID,1,Fusarium head blight
2019,IL,1,Fusarium head blight
2019,IN,4,Fusarium head blight
2019,KS,2.1,Fusarium head blight
2019,KY,0.8,Fusarium head blight
2019,LA,5,Fusarium head blight
2019,MD,1.5,Fusarium head blight
2019,MI,4,Fusarium head blight
2019,MN,10,Fusarium head blight
2019,MO,1.25,Fusarium head blight
2019,MS,0.001,Fusarium head blight
2019,MT,1,Fusarium head blight
2019,NC,2,Fusarium head blight
2019,ND,4,Fusarium head blight
2019,NE,2,Fusarium head blight
2019,NY,0.5,Fusarium head blight
2019,OH,4,Fusarium head blight
2019,OK,0.01,Fusarium head blight
2019,PA,7,Fusarium head blight
2019,SC,,Fusarium head blight
2019,SD,4.5,Fusarium head blight
2019,TN,0.01,Fusarium head blight
2019,TX,0,Fusarium head blight
2019,VA,1,Fusarium head blight
2019,WI,6,Fusarium head blight
2018,AL,7,Fusarium head blight
2018,AR,0.05,Fusarium head blight
2018,CO,0,Fusarium head blight
2018,DE,2,Fusarium head blight
2018,FL,,Fusarium head blight
2018,GA,0.1,Fusarium head blight
2018,IA,,Fusarium head blight
2018,ID,1.5,Fusarium head blight
2018,IL,0.05,Fusarium head blight
2018,IN,0.0001,Fusarium head blight
2018,KS,0,Fusarium head blight
2018,KY,0.8,Fusarium head blight
2018,LA,0.00001,Fusarium head blight
2018,MD,2,Fusarium head blight
2018,MI,3,Fusarium head blight
2018,MN,3,Fusarium head blight
2018,MO,0.0001,Fusarium head blight
2018,MS,0.2,Fusarium head blight
2018,MT,0.01,Fusarium head blight
2018,NC,2,Fusarium head blight
2018,ND,3,Fusarium head blight
2018,NE,0.0001,Fusarium head blight
2018,NY,1,Fusarium head blight
2018,OH,2,Fusarium head blight
2018,OK,0,Fusarium head blight
2018,PA,12,Fusarium head blight
2018,SC,,Fusarium head blight
2018,SD,5,Fusarium head blight
2018,TN,0.001,Fusarium head blight
2018,TX,,Fusarium head blight
2018,VA,5,Fusarium head blight
2018,WI,5,Fusarium head blight
