"state","state_abb","year","FHBPer","FHB1000Bu","Prod1000Bu"
"Illinois","IL",1993,0.0109290885465008,753.6,68200
"Illinois","IL",1994,0,0,50400
"Illinois","IL",1995,0.0646662893838182,4708.93,68110
"Illinois","IL",1996,0.197127020843773,10263.03,41800
"Illinois","IL",1997,0,0,66490
"Illinois","IL",1998,0.0353679978979061,2111.89,57600
"Illinois","IL",1999,0.00373173158823082,226.99,60600
"Illinois","IL",2000,0.00850410041410647,449.78,52440
"Illinois","IL",2001,0.0141529212229173,630.52,43920
"Indiana","IN",1993,0,0,34840
"Indiana","IN",1994,0,0,38430
"Indiana","IN",1995,0.00155238433576886,61.57,39600
"Indiana","IN",1996,0.0369523766614419,1049.81,27360
"Indiana","IN",1997,0,0,36540
"Indiana","IN",1998,0.0160487269184298,583.1,35750
"Indiana","IN",1999,0.00561064841512181,189.92,33660
"Indiana","IN",2000,0.00577745293123308,204.49,35190
"Indiana","IN",2001,0.00434546830301245,109.46,25080
"Kentucky","KY",1993,0.000998007465911357,20.07,20090
"Kentucky","KY",1994,0,0,25200
"Kentucky","KY",1995,0.000835232893913947,20.38,24380
"Kentucky","KY",1996,0.000477877611380533,13.43,28090
"Kentucky","KY",1997,0,0,22680
"Kentucky","KY",1998,0.0122331433096056,306.52,24750
"Kentucky","KY",1999,0.0141082709502994,352.03,24600
"Kentucky","KY",2000,0.0294092248287986,725.39,23940
"Kentucky","KY",2001,0,0,23760
"Michigan","MI",1993,0,0,22140
"Michigan","MI",1994,0,0,30740
"Michigan","MI",1995,0,0,37200
"Michigan","MI",1996,0.130494805659869,3421.81,22800
"Michigan","MI",1997,0,0,32240
"Michigan","MI",1998,0.0695908557527276,2302.22,30780
"Michigan","MI",1999,0.0129045498207492,496.13,37950
"Michigan","MI",2000,0.0179151375014288,656.71,36000
"Michigan","MI",2001,0.0277988758924502,933.3,32640
"Minnesota","MN",1993,0.406705876578716,47978.47,69990
"Minnesota","MN",1994,0.40647468343205,48127.7,70275
"Minnesota","MN",1995,0.226779565300629,20753.36,70760
"Minnesota","MN",1996,0.0644451164798219,7262.48,105430
"Minnesota","MN",1997,0.271252446157466,28057.74,75380
"Minnesota","MN",1998,0.0412340443628985,3393.5,78905
"Minnesota","MN",1999,0.0461579728855515,3782.29,78160
"Minnesota","MN",2000,0.0353540151528445,3505.62,95652
"Minnesota","MN",2001,0.153371280941627,14361.63,79278
"Missouri","MO",1993,0.0049204067256906,263.06,53200
"Missouri","MO",1994,0,0,50400
"Missouri","MO",1995,0.054386850595685,2758.99,47970
"Missouri","MO",1996,0.0857550509923636,4572.69,48750
"Missouri","MO",1997,0,0,58320
"Missouri","MO",1998,0.00496031608690175,286.64,57500
"Missouri","MO",1999,0.00313281765321754,138.78,44160
"Missouri","MO",2000,0.0119855749893948,599.27,49400
"Missouri","MO",2001,0.0251607807740043,1059.25,41040
"North Dakota","ND",1993,0.17136086299355,68723.09,332320
"North Dakota","ND",1994,0.109924644714198,43861.16,355150
"North Dakota","ND",1995,0.0972091704427803,32212.44,299160
"North Dakota","ND",1996,0.0590150919244631,24639.98,392880
"North Dakota","ND",1997,0.12578976650532,38542.27,267860
"North Dakota","ND",1998,0.0175970990825334,5474,305600
"North Dakota","ND",1999,0.0242001215927965,5952.07,240000
"North Dakota","ND",2000,0.0323178834821999,10416.59,311900
"North Dakota","ND",2001,0.0509581647132332,15528.4,289200
"Ohio","OH",1993,0.00473489980833756,249.86,52520
"Ohio","OH",1994,0,0,68440
"Ohio","OH",1995,0.0173069016715768,1299.92,73810
"Ohio","OH",1996,0.181469621034795,11499.67,51870
"Ohio","OH",1997,0,0,68670
"Ohio","OH",1998,0.0173066020609294,1307.47,74240
"Ohio","OH",1999,0.00151130473390276,109.13,72100
"Ohio","OH",2000,0,0,79920
"Ohio","OH",2001,0.0110415651193868,673.24,60300
"South Dakota","SD",1993,0.192211064322024,13080.43,54972
"South Dakota","SD",1994,0.043495270097151,2368.15,52078
"South Dakota","SD",1995,0.0144391408455493,505.39,34496
"South Dakota","SD",1996,0,0,83970
"South Dakota","SD",1997,0.0201440294013873,1305.71,63513
"South Dakota","SD",1998,0.00403122291527306,242.14,59824
"South Dakota","SD",1999,0,0,61362
"South Dakota","SD",2000,0,0,60508
"South Dakota","SD",2001,0.00730310923014235,477.65,64926
