State,Crop,Year,Losses_000bu,Prod_bu
ND,HRS,1993,58701.11,274350000
ND,HRS,1994,40037.51,278775000
ND,HRS,1995,25928.93,221400000
ND,HRS,1996,16279.48,313500000
ND,HRS,1997,34167.06,210000000
ND,HRS,1998,4767.44,211200000
ND,HRS,1999,2009.43,168000000
ND,HRS,2000,5859.67,233600000
ND,HRS,2001,12642.65,234600000
MN,HRS,1993,47815.77,69750000
MN,HRS,1994,47947.53,70000000
MN,HRS,1995,20610.33,70400000
MN,HRS,1996,7217.72,105000000
MN,HRS,1997,28057.74,75200000
MN,HRS,1998,3381.36,78720000
MN,HRS,1999,3766.45,78000000
MN,HRS,2000,3504.2,95550000
MN,HRS,2001,14361.63,79200000
SD,HRS,1993,13080.43,54540000
SD,HRS,1994,2368.15,51480000
SD,HRS,1995,505.39,33600000
SD,HRS,1996,,83250000
SD,HRS,1997,1305.71,63000000
SD,HRS,1998,242.14,59200000
SD,HRS,1999,,59850000
SD,HRS,2000,,60040000
SD,HRS,2001,477.65,64350000
ND,Durum,1993,10021.98,57970000
ND,Durum,1994,3823.65,76375000
ND,Durum,1995,6283.51,77760000
ND,Durum,1996,8360.5,79380000
ND,Durum,1997,4375.21,57860000
ND,Durum,1998,706.56,94400000
ND,Durum,1999,3942.64,72000000
ND,Durum,2000,4556.92,78300000
ND,Durum,2001,2885.75,54600000
MN,Durum,1993,162.7,240000
MN,Durum,1994,180.17,275000
MN,Durum,1995,143.03,360000
MN,Durum,1996,44.76,430000
MN,Durum,1997,,180000
MN,Durum,1998,12.14,185000
MN,Durum,1999,15.84,160000
MN,Durum,2000,1.42,102000
MN,Durum,2001,,78000
SD,Durum,1993,,432000
SD,Durum,1994,,598000
SD,Durum,1995,,896000
SD,Durum,1996,,720000
SD,Durum,1997,,513000
SD,Durum,1998,,624000
SD,Durum,1999,,1512000
SD,Durum,2000,,468000
SD,Durum,2001,,576000
IL,SRW,1993,753.6,68200000
IL,SRW,1994,,50400000
IL,SRW,1995,4708.93,68110000
IL,SRW,1996,10263.03,41800000
IL,SRW,1997,,66490000
IL,SRW,1998,2111.89,57600000
IL,SRW,1999,226.99,60600000
IL,SRW,2000,449.78,52440000
IL,SRW,2001,630.52,43920000
IN,SRW,1993,,34840000
IN,SRW,1994,,38430000
IN,SRW,1995,61.57,39600000
IN,SRW,1996,1049.81,27360000
IN,SRW,1997,,36540000
IN,SRW,1998,583.1,35750000
IN,SRW,1999,189.92,33660000
IN,SRW,2000,204.49,35190000
IN,SRW,2001,109.46,25080000
KY,SRW,1993,20.07,20090000
KY,SRW,1994,,25200000
KY,SRW,1995,20.38,24380000
KY,SRW,1996,13.43,28090000
KY,SRW,1997,,22680000
KY,SRW,1998,306.52,24750000
KY,SRW,1999,352.03,24600000
KY,SRW,2000,725.39,23940000
KY,SRW,2001,,23760000
MI,SRW,1993,,22140000
MI,SRW,1994,,30740000
MI,SRW,1995,,37200000
MI,SRW,1996,3421.81,22800000
MI,SRW,1997,,32240000
MI,SRW,1998,2302.22,30780000
MI,SRW,1999,496.13,37950000
MI,SRW,2000,656.71,36000000
MI,SRW,2001,933.3,32640000
MO,SRW,1993,263.06,53200000
MO,SRW,1994,,50400000
MO,SRW,1995,2758.99,47970000
MO,SRW,1996,4572.69,48750000
MO,SRW,1997,,58320000
MO,SRW,1998,286.64,57500000
MO,SRW,1999,138.78,44160000
MO,SRW,2000,599.27,49400000
MO,SRW,2001,1059.25,41040000
OH,SRW,1993,249.86,52520000
OH,SRW,1994,,68440000
OH,SRW,1995,1299.92,73810000
OH,SRW,1996,11499.67,51870000
OH,SRW,1997,,68670000
OH,SRW,1998,1307.47,74240000
OH,SRW,1999,109.13,72100000
OH,SRW,2000,,79920000
OH,SRW,2001,673.24,60300000
